Cliente,Veiculo,Data,Inicio,Fim,Registros CAN,Km Inicial,Km Final,Km Percorrido,Consumo Combustivel (L),Horas Motor,Media Km/L,Velocidade Media,Velocidade Maxima,Temperatura Motor Media,Temperatura Motor Maxima,Temperatura Ambiente Media,Pressao Ar Media,Pressao Ar Maxima,Economia Combustivel Media,Temperatura Cabine Media
Londrina,3067,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,11241,201903,201951,48,14.726,2,3.259540947983159,18.41158004883153,50,84.77,90,26.52755905511811,918.8251544892767,1088,19621.150553407122,
Londrina,3067,28-06-2026,28-06-2026 00:00:00,28-06-2026 00:12:23,742,,,,0.15,,,11.40625,25,83.75,86,34.75,859.5409836065573,912,20399.85714285714,
Londrina,3068,27-06-2026,27-06-2026 20:00:00,27-06-2026 22:02:19,5099,187822,187845,23,6.894,0,3.3362344067304903,25.505698005698004,77,86.65957446808511,94,28.182608695652174,950.6759906759906,1064,18978.69306930693,
Londrina,3068,29-06-2026,29-06-2026 02:52:33,29-06-2026 02:52:37,5,187845,187845,0,0,0,,0,0,84,84,26,388,424,43000,0
Londrina,3069,27-06-2026,27-06-2026 20:33:38,27-06-2026 20:36:03,145,,,,0.178,,,8.74698795180723,20,36.476190476190474,46,24,914.1587301587301,1064,29676.38260869565,
Londrina,3071,29-06-2026,29-06-2026 02:51:38,29-06-2026 02:51:43,5,173653,173653,0,0,0,,0,0,55,55,21,604,840,12000,0
Londrina,3072,27-06-2026,27-06-2026 20:06:52,27-06-2026 23:59:59,8704,195476,195546,70,18.757,1,3.73194007570507,32.342286348501666,81,86.72043010752688,95,27.40963855421687,927.27665317139,992,17942.244725738397,
Londrina,3072,28-06-2026,28-06-2026 00:00:00,28-06-2026 00:14:36,875,195546,195547,1,0.276,0,3.623188405797101,9.173469387755102,23,84.42424242424242,87,32.35294117647059,930.6486486486486,992,25035.23076923077,
Londrina,3074,27-06-2026,27-06-2026 20:00:00,27-06-2026 21:32:04,4804,196147,196165,18,7.875,0,2.2857142857142856,21.46285018270402,70,87.04,93,29.69090909090909,927.0190735694823,1016,15538.262443438914,
Londrina,3074,29-06-2026,29-06-2026 02:49:43,29-06-2026 02:50:32,43,,3722304989,,3708801.792,3722304989,,3754.6666666666665,11264,11.5,23,11.5,299.2,376,256.3333333333333,0
Londrina,3075,29-06-2026,29-06-2026 02:52:55,29-06-2026 02:52:59,5,182447,182447,0,0,0,,0,0,50,50,33,728,728,62000,0
Londrina,3077,29-06-2026,29-06-2026 02:48:50,29-06-2026 02:59:59,669,180073,180073,0,0.278,0,0,0,0,36.23076923076923,82,24.428571428571427,578.8363636363637,704,0,0
Londrina,3078,27-06-2026,27-06-2026 22:03:50,27-06-2026 22:08:36,286,185791,185791,0,0.267,,0,10.135802469135802,22,46,58,24,652.2074074074075,872,27951.513043478262,
Londrina,3078,28-06-2026,28-06-2026 05:24:47,28-06-2026 05:44:42,1194,185791,185797,6,1.787,1,3.3575825405707893,25.91320754716981,61,68.38666666666667,88,20,814.3903903903904,992,23107.846689895472,0
Londrina,3078,29-06-2026,29-06-2026 02:48:27,29-06-2026 02:48:35,9,,,,0,0,,0,0,0,0,15.5,392,392,0,
Londrina,3079,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,11531,180609,180703,94,29.582,3,3.177608004867825,31.565607476635513,81,85.4648888888889,91,25.454545454545453,915.4399178363574,992,17127.468905799004,
Londrina,3079,28-06-2026,28-06-2026 00:00:00,28-06-2026 23:55:00,55977,180703,181143,440,130.201,15,3.3793903272632315,30.416183456183457,87,85.22309482257127,91,26.45318352059925,911.9766745952581,1000,16809.337065610704,0
Londrina,3079,29-06-2026,29-06-2026 00:09:55,29-06-2026 02:48:12,1332,181143,181144,1,0.563,,1.7761989342806397,7.078651685393258,23,83.5,87,34.483870967741936,889.3812949640288,984,28740.688046647232,
Londrina,3081,27-06-2026,27-06-2026 20:06:10,27-06-2026 23:47:15,10885,184041,184092,51,19.192,2,2.657357232180075,19.29230997624703,59,86.97183098591549,95,27.464882943143813,1087.2941176470588,1200,18005.01262594057,
Londrina,3081,28-06-2026,28-06-2026 00:03:02,28-06-2026 00:10:16,434,184092,184093,1,0.337,,2.9673590504451037,11.395348837209303,23,83.76315789473684,92,36.92307692307692,1054.0671140939598,1200,25460.152671755724,
Londrina,3082,27-06-2026,27-06-2026 21:56:47,27-06-2026 22:09:10,694,,,,0.526,,,9.619469026548673,27,60.785714285714285,77,26.333333333333332,765.3620071684588,1144,29536.306784660766,
Londrina,3083,29-06-2026,29-06-2026 02:51:12,29-06-2026 02:51:16,5,195633,195633,0,0,0,,0,0,22,22,23,400,400,26000,0
Londrina,3084,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:58:45,11445,181750,181816,66,24.949,2,2.6453966090825283,24.228953806303064,65,88.44642857142857,97,25.68831168831169,929.0243581303489,1016,17509.72329828445,
Londrina,3084,28-06-2026,28-06-2026 00:24:29,28-06-2026 01:55:29,4255,181816,181830,14,5.752,0,2.4339360222531297,25.084420041180508,65,86.43558282208589,95,29.32323232323232,927.4932821497121,1016,20389.63582089552,
Londrina,3084,29-06-2026,29-06-2026 02:48:09,29-06-2026 02:48:13,5,181830,181830,0,0,0,,0,0,23,23,23,464,464,2464,0
Londrina,3085,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,8710,193968,194025,57,18.153,2,3.1399768633283758,23.04848628192999,55,86.5725806451613,93,26.3302752293578,916.9026128266033,1072,15899.42857142857,
Londrina,3085,28-06-2026,28-06-2026 00:00:00,28-06-2026 00:48:25,2125,194025,194035,10,3.074,,3.2530904359141184,21.468110709987965,63,86.26470588235294,96,26.964285714285715,936.6282722513089,1064,14553.29460580913,
Londrina,3087,27-06-2026,27-06-2026 22:00:33,27-06-2026 22:02:57,145,,,,0.175,0,,9.296296296296296,24,35,43,24.5,891.3103448275862,992,24403.93442622951,
Londrina,3087,28-06-2026,28-06-2026 07:26:51,28-06-2026 23:59:59,8476,180997,181015,18,6.814,1,2.6416201937188144,23.027106949236078,62,69.34375,93,33.58730158730159,918.8982035928144,1000,20322.254826254826,0
Londrina,3087,29-06-2026,29-06-2026 00:00:00,29-06-2026 02:47:37,1530,181015,181023,8,2.553,,3.1335683509596555,23.80223880597015,67,86.13953488372093,93,31.23076923076923,913.189448441247,992,21169.956626506024,
Londrina,3088,29-06-2026,29-06-2026 02:47:51,29-06-2026 02:47:55,5,203571,203571,0,0,0,,0,0,53.5,84,26,12,16,22464,0
Londrina,3089,27-06-2026,27-06-2026 21:36:48,27-06-2026 22:00:20,734,175689,175689,0,0.428,0,0,8.280373831775702,28,57,74,23.76923076923077,923.1145038167939,1040,20739.844522968197,
Londrina,3089,29-06-2026,29-06-2026 02:52:14,29-06-2026 02:52:18,5,175689,175689,0,0,0,,0,0,74,74,24,752,752,0,0
Londrina,3090,29-06-2026,29-06-2026 02:51:00,29-06-2026 02:59:59,539,166348,166348,0,0.172,0,0,0,0,38.94117647058823,86,23.5,592.3636363636364,696,500,0
Londrina,3091,27-06-2026,27-06-2026 20:01:45,27-06-2026 20:13:27,702,172621,172621,0,0.457,,0,12.26241134751773,24,82.3913043478261,86,35.38095238095238,940.6618705035971,1016,19451.113513513512,
Londrina,3092,28-06-2026,28-06-2026 04:25:38,28-06-2026 20:19:41,1879,162837,162840,3,1.447,1,2.073255010366275,17.247813411078717,53,62.93333333333333,84,23.25925925925926,720.330383480826,992,19764.98947368421,0
